                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3243,                 1.6532,                 1.2588,                0.40881,                0.51597,                0.41289,                0.25059,                    1.2,                 1.5514,                 1.2541,              0.0010396,              0.0010396,              0.0010396
                     36,                 1.3136,                 1.6267,                 1.2252,                0.43847,                0.54639,                0.42774,                0.26214,                 1.2016,                 1.5599,                  1.252,              0.0010334,              0.0010334,              0.0010334
                     37,                 1.3217,                 1.6377,                 1.2439,                0.40713,                0.52025,                0.40944,                0.25125,                 1.2172,                 1.5524,                 1.2629,              0.0010273,              0.0010273,              0.0010273
                     38,                 1.3355,                 1.6497,                 1.2471,                0.46319,                0.52385,                0.42933,                0.26278,                 1.1874,                 1.5425,                 1.2459,              0.0010211,              0.0010211,              0.0010211
                     39,                 1.3062,                 1.6167,                 1.2259,                0.44693,                 0.5193,                0.42235,                0.25606,                 1.2015,                 1.5464,                 1.2487,              0.0010149,              0.0010149,              0.0010149
                     40,                 1.2851,                 1.6151,                 1.2232,                0.43308,                0.54459,                0.42369,                0.25153,                 1.2223,                 1.6262,                 1.2673,              0.0010087,              0.0010087,              0.0010087
                     41,                 1.3199,                 1.6225,                 1.2304,                0.41867,                0.53049,                0.43266,                0.26065,                 1.2203,                 1.5602,                 1.2485,              0.0010025,              0.0010025,              0.0010025
                     42,                 1.2912,                 1.5938,                 1.2239,                0.45743,                0.53278,                0.44233,                0.27225,                  1.174,                 1.5034,                 1.2396,             0.00099631,             0.00099631,             0.00099631
                     43,                 1.2705,                  1.607,                 1.2338,                 0.4545,                0.53067,                0.43363,                0.26535,                 1.2043,                 1.5235,                 1.2423,             0.00099013,             0.00099013,             0.00099013
                     44,                 1.2658,                 1.5947,                 1.2055,                0.39463,                 0.5425,                 0.4364,                0.27232,                 1.1602,                  1.512,                 1.2275,             0.00098394,             0.00098394,             0.00098394
                     45,                 1.2836,                 1.5835,                 1.2074,                0.45226,                 0.5359,                0.44375,                0.26266,                 1.2147,                 1.5203,                 1.2514,             0.00097775,             0.00097775,             0.00097775
                     46,                 1.2834,                 1.5883,                  1.213,                0.46452,                0.56493,                0.45603,                0.28085,                 1.1397,                 1.5428,                  1.212,             0.00097156,             0.00097156,             0.00097156
                     47,                 1.2379,                 1.5625,                  1.199,                0.48396,                0.53571,                0.45252,                0.28262,                 1.1724,                 1.5156,                  1.235,             0.00096537,             0.00096537,             0.00096537
                     48,                 1.2352,                 1.5675,                 1.1931,                  0.431,                0.53331,                0.45498,                0.28397,                 1.1595,                 1.4711,                 1.2234,             0.00095919,             0.00095919,             0.00095919
                     49,                 1.2505,                 1.5674,                 1.2138,                0.42415,                0.52474,                0.42996,                0.26268,                 1.1945,                 1.5284,                 1.2421,               0.000953,               0.000953,               0.000953
                     50,                 1.2637,                 1.5621,                 1.2054,                0.48349,                   0.56,                0.46517,                0.29447,                 1.1381,                 1.4742,                  1.209,             0.00094681,             0.00094681,             0.00094681
                     51,                 1.2455,                 1.5573,                  1.196,                0.43689,                0.55416,                0.46398,                0.29517,                 1.1374,                 1.5051,                 1.2091,             0.00094062,             0.00094062,             0.00094062
                     52,                 1.2174,                 1.5388,                 1.1823,                0.46195,                0.55073,                0.46832,                0.30464,                 1.1097,                 1.4875,                 1.1944,             0.00093444,             0.00093444,             0.00093444
                     53,                 1.2403,                 1.5491,                 1.1946,                0.47046,                 0.5816,                0.47547,                0.29452,                  1.147,                 1.4615,                 1.2138,             0.00092825,             0.00092825,             0.00092825
                     54,                 1.2375,                 1.5406,                 1.2006,                0.47064,                0.53457,                0.46491,                0.28982,                 1.1655,                 1.4747,                  1.227,             0.00092206,             0.00092206,             0.00092206
